PROJECTION	evm.model.hic_scaffold_16_pilon.189.18477	PM
PROJECTION	evm.model.hic_scaffold_10_pilon.380.27	M
PROJECTION	evm.model.hic_scaffold_3_pilon.1500.348	L
PROJECTION	evm.model.hic_scaffold_5_pilon.1503.133	UL
PROJECTION	evm.model.hic_scaffold_8_pilon.745.359	L
PROJECTION	evm.model.hic_scaffold_1_pilon.748.590	I
PROJECTION	evm.model.hic_scaffold_7_pilon.1000.-1	M
PROJECTION	evm.model.hic_scaffold_5_pilon.922.1736	M
PROJECTION	evm.model.hic_scaffold_10_pilon.1297.8311	PG
PROJECTION	evm.model.hic_scaffold_8_pilon.120.-1	PI
PROJECTION	evm.model.hic_scaffold_2_pilon.19.194	L
PROJECTION	evm.model.hic_scaffold_7_pilon.1360.7681	PG
PROJECTION	evm.model.hic_scaffold_10_pilon.1071.15160	L
PROJECTION	evm.model.hic_scaffold_4_pilon.8.29575	PG
PROJECTION	evm.model.hic_scaffold_3_pilon.320.16864	I
PROJECTION	evm.model.hic_scaffold_23_pilon.25.23010	PG
PROJECTION	evm.model.hic_scaffold_45_pilon.22.17401	L
PROJECTION	evm.model.hic_scaffold_8_pilon.939.13147	L
PROJECTION	evm.model.hic_scaffold_5_pilon.141.31211	L
PROJECTION	evm.model.hic_scaffold_4_pilon.690.5500	L
PROJECTION	evm.model.hic_scaffold_47_pilon.11.-1	PM
PROJECTION	evm.model.hic_scaffold_3_pilon.539.1	M
PROJECTION	evm.model.hic_scaffold_5_pilon.620.24541	PG
PROJECTION	evm.model.hic_scaffold_4_pilon.253.4329	I
PROJECTION	evm.model.hic_scaffold_4_pilon.227.27456	I
PROJECTION	evm.model.hic_scaffold_9_pilon.995.4	M
PROJECTION	evm.model.hic_scaffold_9_pilon.1838.-1	PI
PROJECTION	evm.model.hic_scaffold_7_pilon.1307.4681	I
PROJECTION	evm.model.hic_scaffold_17_pilon.4.30501	L
PROJECTION	evm.model.hic_scaffold_7_pilon.850.6874	PG
PROJECTION	evm.model.hic_scaffold_9_pilon.1543.15634	PG
PROJECTION	evm.model.hic_scaffold_44_pilon.23.15579	PG
PROJECTION	evm.model.hic_scaffold_39_pilon.13.11602	PG
PROJECTION	evm.model.hic_scaffold_2_pilon.432.20917	L
PROJECTION	evm.model.hic_scaffold_6_pilon.539.3	I
PROJECTION	evm.model.hic_scaffold_9_pilon.998.11730	PM
PROJECTION	evm.model.hic_scaffold_8_pilon.515.1357	PG
PROJECTION	evm.model.hic_scaffold_8_pilon.202.32359	PG
PROJECTION	evm.model.hic_scaffold_10_pilon.1135.3533	PM
PROJECTION	evm.model.hic_scaffold_2_pilon.196.87	I
PROJECTION	evm.model.hic_scaffold_7_pilon.1155.239	PG
PROJECTION	evm.model.hic_scaffold_3_pilon.236.-1	I
PROJECTION	evm.model.hic_scaffold_9_pilon.931.4	I
PROJECTION	evm.model.hic_scaffold_2_pilon.674.4490	PG
PROJECTION	evm.model.hic_scaffold_9_pilon.229.-1	PI
PROJECTION	evm.model.hic_scaffold_5_pilon.746.4293	UL
PROJECTION	evm.model.hic_scaffold_2_pilon.572.544	PG
PROJECTION	evm.model.hic_scaffold_4_pilon.741.3845	PI
PROJECTION	evm.model.hic_scaffold_10_pilon.507.-1	PI
PROJECTION	evm.model.hic_scaffold_4_pilon.1249.26711	PG
PROJECTION	evm.model.hic_scaffold_7_pilon.660.22691	PM
PROJECTION	evm.model.hic_scaffold_4_pilon.595.8379	I
PROJECTION	evm.model.hic_scaffold_8_pilon.409.6689	L
PROJECTION	evm.model.hic_scaffold_16_pilon.53.2150	PM
PROJECTION	evm.model.hic_scaffold_9_pilon.497.1420	L
PROJECTION	evm.model.hic_scaffold_10_pilon.1351.26366	L
PROJECTION	evm.model.hic_scaffold_7_pilon.580.9816	PI
PROJECTION	evm.model.hic_scaffold_9_pilon.1334.24309	PG
PROJECTION	evm.model.hic_scaffold_39_pilon.10.23322	L
PROJECTION	evm.model.hic_scaffold_8_pilon.474.22875	L
PROJECTION	evm.model.hic_scaffold_13_pilon.140.4834	PG
PROJECTION	evm.model.hic_scaffold_1_pilon.375.126	I
PROJECTION	evm.model.hic_scaffold_4_pilon.248.5515	I
PROJECTION	evm.model.hic_scaffold_9_pilon.367.5019	PG
