OG	group	tree_position	Dcor_Gene	Alus_Gene	Annotation	D1_category	D2_category	GEP	Core D1	Core D2	Dalotia_D1	Aleochara_D1	Dalotia_D2	Aleochara_D2
OG0000000	3		Dcor_evm.model.WTDall_ctg5555.3	Alus_evm.model.scaffold09235.1	"gag-pol polyprotein precursor, partial "	NA	NA	NA	n	n	0	0	0	0
OG0000000	5		Dcor_evm.model.WTDall_ctg936.2	Alus_evm.model.scaffold14660.1	"gag-pol polyprotein precursor, partial "	NA	NA	NA	n	n	0	0	0	0
OG0000000	6		Dcor_evm.model.WTDall_ctg3567.1	Alus_evm.model.scaffold15913.1	"gag-pol polyprotein precursor, partial "	NA	NA	NA	n	n	0	0	0	0
OG0000000	9		Dcor_evm.model.WTDall_ctg9512.2	Alus_evm.model.scaffold08178.5	"gag-pol polyprotein precursor, partial "	NA	NA	NA	n	n	0	0	0	0
OG0000000	1		Dcor_evm.model.hic_scaffold_28_pilon.13	Alus_evm.model.scaffold09578.1	PREDICTED: uncharacterized protein LOC105556847	NA	NA	NA	n	n	0	0	0	0
OG0000000	4		Dcor_evm.model.hic_scaffold_46_pilon.14	Alus_evm.model.scaffold03257.1	RNA-directed RNA polymerase L	NA	NA	NA	n	n	0	0	0	0
OG0000000	2		Dcor_evm.model.hic_scaffold_1_pilon.1128	Alus_evm.model.scaffold07601.2	"uncharacterized protein LOC113234216, partial"	NA	NA	NA	n	n	0	0	0	0
OG0000000	8		Dcor_evm.model.hic_scaffold_62_pilon.12	Alus_evm.model.scaffold05416.2	uncharacterized protein LOC113238634	NA	NA	NA	n	n	0	0	0	0
OG0000000	7		Dcor_evm.model.hic_scaffold_59_pilon.6	Alus_evm.model.scaffold08432.1	uncharacterized protein LOC113503124	NA	NA	NA	n	n	0	0	0	0
OG0000001	15		Dcor_evm.model.hic_scaffold_23_pilon.6	Alus_evm.model.scaffold05920.2	Copia protein	NA	NA	NA	n	n	0	0	0	0
OG0000001	10		Dcor_evm.model.hic_scaffold_7_pilon.822	Alus_evm.model.scaffold07645.1	Retrovirus-related Pol polyprotein from transposon 17.6	NA	NA	NA	n	n	0	0	0	0
OG0000001	13		Dcor_evm.model.hic_scaffold_23_pilon.7	Alus_evm.model.scaffold07107.2	Retrovirus-related Pol polyprotein from transposon 17.6	NA	NA	NA	n	n	0	0	0	0
OG0000001	14		Dcor_evm.model.scaffold6119_size1069.1	Alus_evm.model.scaffold09138.1	Retrovirus-related Pol polyprotein from transposon 17.6	NA	NA	NA	n	n	0	0	0	0
OG0000001	11		Dcor_evm.model.hic_scaffold_30_pilon.15	Alus_evm.model.scaffold14862.1	Transposon Tf2-1 polyprotein	NA	NA	NA	n	n	0	0	0	0
OG0000001	12		Dcor_evm.model.hic_scaffold_5_pilon.576	Alus_evm.model.scaffold01712.1	Transposon Ty3-I Gag-Pol polyprotein	NA	NA	NA	n	n	0	0	0	0
OG0000002	20		Dcor_evm.model.hic_scaffold_7_pilon.1273	Alus_evm.model.scaffold13182.5	Adult-specific cuticular protein ACP-20	NA	NA	NA	n	n	0	0	0	0
OG0000002	24		Dcor_evm.model.hic_scaffold_7_pilon.1295	Alus_evm.model.scaffold00649.1	Adult-specific cuticular protein ACP-20	NA	NA	NA	n	n	0	0	0	0
OG0000002	25		Dcor_evm.model.hic_scaffold_7_pilon.1283	Alus_evm.model.scaffold09037.2	Adult-specific cuticular protein ACP-20	NA	NA	NA	n	n	0	0	0	0
OG0000002	30		Dcor_evm.model.hic_scaffold_7_pilon.1290	Alus_evm.model.scaffold09037.5	Adult-specific cuticular protein ACP-20	NA	NA	NA	n	n	0	0	0	0
OG0000002	17		Dcor_evm.model.hic_scaffold_7_pilon.1294	Alus_evm.model.scaffold00649.2	Cuticle protein 19	NA	NA	NA	n	n	0	0	0	0
OG0000002	18		Dcor_evm.model.hic_scaffold_7_pilon.1282	Alus_evm.model.scaffold06731.2	Cuticle protein 19	NA	NA	NA	n	n	0	0	0	0
OG0000002	19		Dcor_evm.model.hic_scaffold_7_pilon.1576	Alus_evm.model.scaffold06394.1	Cuticle protein 19	NA	NA	NA	n	n	0	0	0	0
